Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-08-07 00:00:00-04:00,218.63187314031333,220.59964108330854,216.33447747046458,219.7805633544922,90224800,0.0,0.0
2025-08-08 00:00:00-04:00,220.57966572513484,230.73813503605493,219.00145500716468,229.0900115966797,113854000,0.0,0.0
2025-08-11 00:00:00-04:00,227.9199981689453,229.55999755859375,224.75999450683594,227.17999267578125,61806100,0.26,0.0
2025-08-12 00:00:00-04:00,228.00999450683594,230.8000030517578,227.07000732421875,229.64999389648438,55626200,0.0,0.0
2025-08-13 00:00:00-04:00,231.07000732421875,235.0,230.42999267578125,233.3300018310547,69878500,0.0,0.0
2025-08-14 00:00:00-04:00,234.05999755859375,235.1199951171875,230.85000610351562,232.77999877929688,51916300,0.0,0.0
2025-08-15 00:00:00-04:00,234.0,234.27999877929688,229.33999633789062,231.58999633789062,56038700,0.0,0.0
2025-08-18 00:00:00-04:00,231.6999969482422,233.1199951171875,230.11000061035156,230.88999938964844,37476200,0.0,0.0
2025-08-19 00:00:00-04:00,231.27999877929688,232.8699951171875,229.35000610351562,230.55999755859375,39402600,0.0,0.0
2025-08-20 00:00:00-04:00,229.97999572753906,230.47000122070312,225.77000427246094,226.00999450683594,42263900,0.0,0.0
2025-08-21 00:00:00-04:00,226.27000427246094,226.52000427246094,223.77999877929688,224.89999389648438,30621200,0.0,0.0
2025-08-22 00:00:00-04:00,226.1699981689453,229.08999633789062,225.41000366210938,227.75999450683594,42477800,0.0,0.0
2025-08-25 00:00:00-04:00,226.47999572753906,229.3000030517578,226.22999572753906,227.16000366210938,30983100,0.0,0.0
2025-08-26 00:00:00-04:00,226.8699951171875,229.49000549316406,224.69000244140625,229.30999755859375,54575100,0.0,0.0
2025-08-27 00:00:00-04:00,228.61000061035156,230.89999389648438,228.25999450683594,230.49000549316406,31259500,0.0,0.0
2025-08-28 00:00:00-04:00,230.82000732421875,233.41000366210938,229.33999633789062,232.55999755859375,38074700,0.0,0.0
2025-08-29 00:00:00-04:00,232.50999450683594,233.3800048828125,231.3699951171875,232.13999938964844,39418400,0.0,0.0
2025-09-02 00:00:00-04:00,229.25,230.85000610351562,226.97000122070312,229.72000122070312,44075600,0.0,0.0
2025-09-03 00:00:00-04:00,237.2100067138672,238.85000610351562,234.36000061035156,238.47000122070312,66427800,0.0,0.0
2025-09-04 00:00:00-04:00,238.4499969482422,239.89999389648438,236.74000549316406,239.77999877929688,47549400,0.0,0.0
2025-09-05 00:00:00-04:00,240.0,241.32000732421875,238.49000549316406,239.69000244140625,54870400,0.0,0.0
2025-09-08 00:00:00-04:00,239.3000030517578,240.14999389648438,236.33999633789062,237.8800048828125,48999500,0.0,0.0
2025-09-09 00:00:00-04:00,237.0,238.77999877929688,233.36000061035156,234.35000610351562,66313900,0.0,0.0
2025-09-10 00:00:00-04:00,232.19000244140625,232.4199981689453,225.9499969482422,226.7899932861328,83440800,0.0,0.0
2025-09-11 00:00:00-04:00,226.8800048828125,230.4499969482422,226.64999389648438,230.02999877929688,50208600,0.0,0.0
2025-09-12 00:00:00-04:00,229.22000122070312,234.50999450683594,229.02000427246094,234.07000732421875,55824200,0.0,0.0
2025-09-15 00:00:00-04:00,237.0,238.19000244140625,235.02999877929688,236.6999969482422,42699500,0.0,0.0
2025-09-16 00:00:00-04:00,237.17999267578125,241.22000122070312,236.32000732421875,238.14999389648438,63421100,0.0,0.0
2025-09-17 00:00:00-04:00,238.97000122070312,240.10000610351562,237.72999572753906,238.99000549316406,46508000,0.0,0.0
2025-09-18 00:00:00-04:00,239.97000122070312,241.1999969482422,236.64999389648438,237.8800048828125,44249600,0.0,0.0
2025-09-19 00:00:00-04:00,241.22999572753906,246.3000030517578,240.2100067138672,245.5,163741300,0.0,0.0
2025-09-22 00:00:00-04:00,248.3000030517578,256.6400146484375,248.1199951171875,256.0799865722656,105517400,0.0,0.0
2025-09-23 00:00:00-04:00,255.8800048828125,257.3399963378906,253.5800018310547,254.42999267578125,60275200,0.0,0.0
2025-09-24 00:00:00-04:00,255.22000122070312,255.74000549316406,251.0399932861328,252.30999755859375,42303700,0.0,0.0
2025-09-25 00:00:00-04:00,253.2100067138672,257.1700134277344,251.7100067138672,256.8699951171875,55202100,0.0,0.0
2025-09-26 00:00:00-04:00,254.10000610351562,257.6000061035156,253.77999877929688,255.4600067138672,46076300,0.0,0.0
2025-09-29 00:00:00-04:00,254.55999755859375,255.0,253.00999450683594,254.42999267578125,40127700,0.0,0.0
2025-09-30 00:00:00-04:00,254.86000061035156,255.9199981689453,253.11000061035156,254.6300048828125,37704300,0.0,0.0
2025-10-01 00:00:00-04:00,255.0399932861328,258.7900085449219,254.92999267578125,255.4499969482422,48713900,0.0,0.0
2025-10-02 00:00:00-04:00,256.5799865722656,258.17999267578125,254.14999389648438,257.1300048828125,42630200,0.0,0.0
2025-10-03 00:00:00-04:00,254.6699981689453,259.239990234375,253.9499969482422,258.0199890136719,49155600,0.0,0.0
2025-10-06 00:00:00-04:00,257.989990234375,259.07000732421875,255.0500030517578,256.69000244140625,44664100,0.0,0.0
2025-10-07 00:00:00-04:00,256.80999755859375,257.3999938964844,255.42999267578125,256.4800109863281,31955800,0.0,0.0
2025-10-08 00:00:00-04:00,256.5199890136719,258.5199890136719,256.1099853515625,258.05999755859375,36496900,0.0,0.0
2025-10-09 00:00:00-04:00,257.80999755859375,258.0,253.13999938964844,254.0399932861328,38322000,0.0,0.0
2025-10-10 00:00:00-04:00,254.94000244140625,256.3800048828125,244.0,245.27000427246094,61999100,0.0,0.0
2025-10-13 00:00:00-04:00,249.3800048828125,249.69000244140625,245.55999755859375,247.66000366210938,38142900,0.0,0.0
2025-10-14 00:00:00-04:00,246.60000610351562,248.85000610351562,244.6999969482422,247.77000427246094,35478000,0.0,0.0
2025-10-15 00:00:00-04:00,249.49000549316406,251.82000732421875,247.47000122070312,249.33999633789062,33893600,0.0,0.0
2025-10-16 00:00:00-04:00,248.25,249.0399932861328,245.1300048828125,247.4499969482422,39777000,0.0,0.0
2025-10-17 00:00:00-04:00,248.02000427246094,253.3800048828125,247.27000427246094,252.2899932861328,49147000,0.0,0.0
2025-10-20 00:00:00-04:00,255.88999938964844,264.3800048828125,255.6300048828125,262.239990234375,90483000,0.0,0.0
2025-10-21 00:00:00-04:00,261.8800048828125,265.2900085449219,261.8299865722656,262.7699890136719,46695900,0.0,0.0
2025-10-22 00:00:00-04:00,262.6499938964844,262.8500061035156,255.42999267578125,258.45001220703125,45015300,0.0,0.0
2025-10-23 00:00:00-04:00,259.94000244140625,260.6199951171875,258.010009765625,259.5799865722656,32754900,0.0,0.0
2025-10-24 00:00:00-04:00,261.19000244140625,264.1300048828125,259.17999267578125,262.82000732421875,38253700,0.0,0.0
2025-10-27 00:00:00-04:00,264.8800048828125,269.1199951171875,264.6499938964844,268.80999755859375,44888200,0.0,0.0
2025-10-28 00:00:00-04:00,268.989990234375,269.8900146484375,268.1499938964844,269.0,41534800,0.0,0.0
2025-10-29 00:00:00-04:00,269.2799987792969,271.4100036621094,267.1099853515625,269.70001220703125,51086700,0.0,0.0
2025-10-30 00:00:00-04:00,271.989990234375,274.1400146484375,268.4800109863281,271.3999938964844,69886500,0.0,0.0
2025-10-31 00:00:00-04:00,276.989990234375,277.32000732421875,269.1600036621094,270.3699951171875,86167100,0.0,0.0
2025-11-03 00:00:00-05:00,270.4200134277344,270.8500061035156,266.25,269.04998779296875,50194600,0.0,0.0
2025-11-04 00:00:00-05:00,268.3299865722656,271.489990234375,267.6199951171875,270.0400085449219,49274800,0.0,0.0
2025-11-05 00:00:00-05:00,268.6099853515625,271.70001220703125,266.92999267578125,270.1400146484375,43683100,0.0,0.0
2025-11-06 00:00:00-05:00,267.8900146484375,273.3999938964844,267.8900146484375,269.7699890136719,51204000,0.0,0.0
2025-11-07 00:00:00-05:00,269.79998779296875,272.2900085449219,266.7699890136719,268.4700012207031,48203600,0.0,0.0
